id;question;ANALYSEUR;EMPATHIQUE;PERSÉVÉRANT;ENERGISEUR;PROMOTEUR;IMAGINEUR
base1;Dans mon quotidien professionnel, ma plus grande force est :;Ma rigueur dans l'analyse et l'organisation des données;Mon intuition pour comprendre les besoins humains;Mon exigence éthique et la défense de mes convictions;Ma capacité à sortir du cadre pour innover;Mon audace pour saisir les opportunités de croissance;Ma faculté à prendre du recul pour voir la globalité
base2;Pour collaborer efficacement, j'ai besoin de partenaires qui :;Sont précis, structurés et s'appuient sur des faits;Sont bienveillants, authentiques et à l'écoute;Respectent mes standards de qualité et mes valeurs;Sont spontanés, créatifs et aiment l'imprévu;Sont réactifs, orientés résultats et aiment le challenge;Respectent mon autonomie et mon besoin de tranquillité
base3;Si mes collègues devaient me décrire en un mot, ils diraient :;Méthodique;Altruiste;Intègre;Inspirant;Performant;Observateur
base4;Face à une erreur critique dans un dossier, ma réaction est :;De disséquer le problème pour trouver la cause logique;De m'inquiéter de l'impact sur la relation client;De rappeler les principes de déontologie non respectés;De trouver une solution détournée avec humour;De prendre les commandes pour régler ça au plus vite;De m'isoler pour analyser les conséquences à long terme
base5;Une relation de travail idéale pour moi repose sur :;La reconnaissance mutuelle de nos compétences techniques;Un climat de confiance et de soutien émotionnel;Le respect de nos engagements et d'une vision commune;La liberté de ton et le plaisir de travailler ensemble;La stimulation par le défi et la réussite partagée;Le respect de la bulle de concentration de chacun
base6;Quand je perds mes moyens, j'ai tendance à :;Devenir froid et trop exigeant sur les détails;Me sentir coupable de ne pas avoir été à la hauteur;Donner des leçons de morale pour justifier ma position;Réagir avec sarcasme ou rejeter les règles;Prendre des risques inconsidérés pour me rassurer;Me couper de l'extérieur et devenir totalement passif
base7;Au travail, mon moteur naturel est :;La clarté des processus;L'harmonie de l'équipe;Le sens du devoir;L'énergie créative;Le goût de la victoire;La paix de l'esprit
base8;Depuis le début de ma carrière, on remarque que :;J'apprends vite les systèmes complexes et les chiffres;Je crée naturellement du lien et de la convivialité;Je suis le garant des valeurs et de la culture d'entreprise;Je bouscule les habitudes avec des idées neuves;Je suis celui qui débloque les situations par l'action;Je reste calme et stoïque, même dans la tempête
base9;Ma communication est généralement perçue comme :;Factuelle, précise et structurée;Chaleureuse, douce et attentive;Sérieuse, engagée et empreinte de convictions;Vivante, imagée et parfois provocatrice;Directe, percutante et axée sur l'objectif;Discrète, concise et posée
base10;Sous un stress intense, je me surprends à :;Vouloir tout faire moi-même par peur de l'imprécision;Chercher à tout prix l'approbation de mes pairs;Devenir critique envers l'incompétence supposée des autres;Provoquer pour voir si l'on va me tenir tête;Manipuler les événements pour ne pas perdre la face;Me figer et attendre que la situation passe seule
energy11;Pour motiver mon équipe, je privilégie :;La fixation d'objectifs SMART et datés;Les encouragements personnalisés et le bien-être;La valorisation de l'expertise et du sérieux;L'organisation d'ateliers créatifs et ludiques;Les challenges avec récompenses à la clé;Laisser chacun s'organiser en totale autonomie
energy12;Un projet est pour moi une réussite si :;Le rendu est techniquement parfait et sans erreur;L'équipe en ressort soudée et épanouie;Le projet respecte scrupuleusement notre éthique;On a pris du plaisir à le réaliser de façon originale;On a battu un record de temps ou de rentabilité;Le projet est visionnaire et bien pensé
energy13;Mon espace de travail idéal serait :;Un bureau ordonné avec plusieurs écrans et données;Un espace ouvert, décoré et chaleureux;Un lieu sobre qui impose le respect du métier;Un espace atypique avec une décoration inspirante;Un bureau prestigieux situé au cœur de l'action;Un bureau isolé, loin du bruit et de l'agitation
energy14;Face au changement technologique (ex: IA), je :;Étudie méthodiquement la documentation technique;Demande si cela va simplifier la vie des collaborateurs;Évalue si c'est compatible avec notre déontologie;M'amuse à tester les limites de l'outil avec curiosité;Cherche comment cela peut nous donner un avantage concurrentiel;Réfléchis aux conséquences sociétales de cette évolution
energy15;Parfois, on me reproche injustement de :;Manquer de flexibilité face à l'imprévu;Être trop "maman poule" avec mes clients;Être trop rigide sur mes principes fondamentaux;Manquer de sérieux dans les moments critiques;Être trop impatient ou fonceur;Être trop effacé ou distant
energy16;Dans une réunion de direction, je suis celui qui :;Apporte les chiffres et la structure de l'ordre du jour;Veille à ce que chacun puisse s'exprimer sereinement;Rappelle les engagements à long terme du cabinet;Relance la dynamique par une remarque décalée;Tranche les débats pour passer à l'exécution;Écoute l'ensemble avant de donner une vision de fond
