id;question;ANALYSEUR;EMPATHIQUE;PERSÉVÉRANT;REBELLE;PROMOTEUR;IMAGINEUR
base1;Votre bureau est généralement organisé de quelle façon ?;Structuré et rangé par dossiers.;Accueillant avec des photos et plantes.;Sobre avec des symboles de mes valeurs.;Original et un peu désordonné.;Imposant et très fonctionnel.;Épuré et isolé du passage.
base2;Lors d'une réunion, votre priorité est :;L'ordre du jour et les chiffres.;La cohésion et l'ambiance du groupe.;Le respect des engagements.;La créativité et les échanges fun.;L'efficacité et les décisions rapides.;La réflexion de fond au calme.
base3;Face à un nouveau logiciel comptable, vous :;Étudiez le manuel méthodiquement.;Demandez si l'équipe s'y sent bien.;Vérifiez la fiabilité des sources.;Testez toutes les fonctions avec curiosité.;Cherchez comment gagner du temps vite.;Observez comment il s'intègre au système.
base4;Un client est mécontent, votre première réaction :;Vous cherchez l'erreur logique.;Vous vous excusez pour le gêne occasionnée.;Vous défendez la qualité de votre travail.;Vous tentez de détendre l'atmosphère.;Vous proposez un deal immédiat.;Vous analysez la situation à distance.
base5;Pour vous, une journée de travail réussie c'est :;Avoir bouclé toutes les tâches prévues.;Avoir eu des échanges humains chaleureux.;Avoir agi selon mes convictions professionnelles.;Avoir relevé des défis stimulants.;Avoir obtenu un résultat concret et visible.;Avoir pu réfléchir sereinement à mes dossiers.
base6;Dans un e-mail professionnel, vous privilégiez :;La précision des faits et des dates.;La politesse et les formules de courtoisie.;Le sérieux et le partage d'opinions.;Le style direct et un peu d'humour.;La brièveté et l'appel à l'action.;La clarté des concepts évoqués.
base7;Lors d'un déjeuner d'affaires, vous aimez :;Parler de l'actualité du secteur.;Apprendre à connaître votre interlocuteur.;Échanger sur des valeurs communes.;Rire et passer un bon moment spontané.;Parler d'opportunités et de challenges.;Écouter et observer discrètement.
base8;Face à une surcharge de travail, vous :;Établissez une liste de priorités.;Demandez du soutien moral à vos collègues.;Vous rappelez l'importance de votre mission.;Réagissez avec une pointe d'ironie.;Accélérez le rythme pour tout finir.;Prenez du recul pour ne pas saturer.
base9;Votre entourage pro dit que vous êtes :;Quelqu'un de très organisé et logique.;Quelqu'un de très attentionné et sensible.;Quelqu'un de très loyal et engagé.;Quelqu'un de très créatif et réactif.;Quelqu'un de très dynamique et direct.;Quelqu'un de très calme et réfléchi.
base10;Vous préférez travailler dans un espace :;Calme et parfaitement ordonné.;Convivial et ouvert aux autres.;Professionnel et respectueux des traditions.;Animé et plein de vie.;Moderne et tourné vers l'action.;Isolé et propice à l'imagination.
energy11;Pour motiver un collaborateur, vous :;Lui donnez des objectifs chiffrés.;Le félicitez pour ses qualités humaines.;Lui montrez que vous lui faites confiance.;Misez sur le jeu ou l'originalité.;Lui proposez un défi ou une prime.;Le laissez organiser son temps seul.
energy12;Pendant une pause café, vous avez tendance à :;Vérifier vos notifications et vos mails.;Prendre des nouvelles de la famille des autres.;Discuter de l'éthique de l'entreprise.;Faire des blagues ou raconter des anecdotes.;Parler de vos derniers succès ou projets.;Rester un peu en retrait pour souffler.
energy13;Un changement de procédure est annoncé, vous :;Demandez un plan de déploiement précis.;Vous inquiétez de l'impact sur l'équipe.;Vérifiez si c'est une décision juste.;Vous amusez des complications à venir.;Voyez tout de suite l'avantage compétitif.;Réfléchissez aux implications futures.
energy14;En période de clôture fiscale, vous :;Augmentez votre niveau de précision.;Veillez à ce que personne ne craque.;Rappelez à tous le sens de notre métier.;Gardez le moral avec des plaisanteries.;Multipliez les actions pour avancer vite.;Vous plongez dans vos pensées pour tenir.
energy15;Votre façon préférée de recevoir un feedback :;Par un rapport écrit et détaillé.;Par un échange bienveillant en tête-à-tête.;Par une reconnaissance de votre expertise.;Par un signe de tête complice et fun.;Par une confirmation de vos résultats.;Par une note simple me laissant tranquille.
energy16;Face à un conflit entre deux collègues :;Vous cherchez les faits objectifs.;Vous tentez de réconcilier les parties.;Vous rappelez les règles de conduite.;Vous dédramatisez par une pirouette.;Vous tranchez pour que le travail reprenne.;Vous restez à l'écart du tumulte.
energy17;Pour préparer une présentation, vous :;Préparez des slides avec beaucoup de données.;Pensez au confort visuel de l'auditoire.;Insistez sur la crédibilité des sources.;Cherchez une accroche percutante et drôle.;Allez droit au but avec des mots forts.;Développez une vision globale du sujet.
energy18;Qu'est-ce qui vous fatigue le plus ?;Le manque de logique et l'imprécision.;L'impolitesse et la froideur.;La trahison et le manque de valeurs.;L'ennui et la routine rigide.;L'inaction et la lenteur.;Le bruit constant et l'agitation.
energy19;Dans une équipe, vous êtes celui/celle qui :;Apporte la structure et la méthode.;Apporte l'harmonie et l'écoute.;Apporte la stabilité et les principes.;Apporte l'énergie et les idées neuves.;Apporte le mouvement et l'ambition.;Apporte la vision et la sérénité.
energy20;Votre réaction face à un succès :;Vous vérifiez si les objectifs sont atteints.;Vous partagez votre joie avec tout le monde.;Vous appréciez la reconnaissance de vos pairs.;Vous faites une petite fête improvisée.;Vous cherchez déjà le prochain défi.;Vous savourez ce moment en silence.
phase21;Si vous deviez diriger un cabinet, vous :;Mettriez en place des process stricts.;Veilleriez au bien-être de chaque salarié.;Privilégieriez l'éthique et la déontologie.;Encourageriez l'innovation et le fun.;Viseriez la place de leader sur le marché.;Prendriez le temps de définir la stratégie.
